Date,Time,Air temperature | ('C),Wind speed | (m/s),Wind direction | (deg),Pressure | (atm),System power generated | (kW)
1 1 2021,00:00 am,18.263,9.926,128,1.00048,1766.64
1 1 2021,01:00 am,18.363,9.273,135,0.99979,1433.83
1 1 2021,02:00 am,18.663,8.66,142,0.999592,1167.23
1 1 2021,03:00 am,18.763,9.461,148,0.998309,1524.59
1 1 2021,04:00 am,18.963,9.184,150,0.998507,1384.28
1 1 2021,05:00 am,19.063,8.996,149,0.998507,1293.93
1 1 2021,06:00 am,19.113,9.016,151,0.998211,1301.63
1 1 2021,07:00 am,19.163,9.036,154,0.997815,1308.13
1 1 2021,08:00 am,19.363,7.612,154,1.00028,792.081
1 1 2021,09:00 am,19.963,6.129,162,1.00295,399.537
1 1 2021,10:00 am,20.763,5.961,152,1.00048,362.988
1 1 2021,11:00 am,21.063,8.117,141,1.00068,951.359
1 1 2021,00:00 pm,21.063,9.54,141,0.996926,1549.75
1 1 2021,01:00 pm,20.763,10.094,136,1.00028,1835.22
1 1 2021,02:00 pm,20.663,8.789,137,0.998801,1208.37
1 1 2021,03:00 pm,20.663,7.286,126,0.999986,686.154
1 1 2021,04:00 pm,20.563,7.088,122,0.999591,624.105
1 1 2021,05:00 pm,20.363,7.266,121,0.997715,678.936
1 1 2021,06:00 pm,20.363,8.739,116,0.996334,1187.51
1 1 2021,07:00 pm,20.363,10.212,126,0.994952,1881.72
1 1 2021,08:00 pm,20.363,9.797,132,0.998406,1685.91
1 1 2021,09:00 pm,20.263,8.729,149,1.00048,1188.7
1 1 2021,10:00 pm,20.263,8.087,155,0.99821,939.228
1 1 2021,11:00 pm,20.263,7.563,160,0.998703,772.632
2 1 2021,00:00 am,20.163,8.265,157,0.996432,1006.16
2 1 2021,01:00 am,19.863,8.631,157,0.998999,1150.85
2 1 2021,02:00 am,19.663,8.542,167,0.998802,1116.59
2 1 2021,03:00 am,19.563,7.158,176,0.997914,647.342
2 1 2021,04:00 am,19.463,6.693,174,0.994952,528.178
2 1 2021,05:00 am,19.263,7.009,175,0.996335,602.899
2 1 2021,06:00 am,19.513,6.96,162,0.996433,591.48
2 1 2021,07:00 am,19.763,6.91,177,0.996432,578.963
2 1 2021,08:00 am,19.763,6.09,177,0.995643,387.965
2 1 2021,09:00 am,20.263,6.99,173,0.996926,596.94
2 1 2021,10:00 am,21.063,6.584,175,0.997518,501.324
2 1 2021,11:00 am,22.263,4.884,166,1.00048,184.65
2 1 2021,00:00 pm,22.663,4.904,135,0.995937,185.902
2 1 2021,01:00 pm,21.563,6.782,120,0.994655,544.988
2 1 2021,02:00 pm,20.863,8.245,126,0.993964,993.34
2 1 2021,03:00 pm,21.063,9.352,132,0.996432,1454.04
2 1 2021,04:00 pm,21.463,10.697,140,0.994457,2090.64
2 1 2021,05:00 pm,21.163,11.992,142,0.994457,2586.1
2 1 2021,06:00 pm,20.713,11.399,145,0.99426,2378.47
2 1 2021,07:00 pm,20.263,10.806,153,0.994162,2145.09
2 1 2021,08:00 pm,19.763,11.142,150,0.996432,2294.79
2 1 2021,09:00 pm,19.863,10.657,155,0.996334,2085.15
2 1 2021,10:00 pm,19.963,10.628,158,0.99436,2067.89
2 1 2021,11:00 pm,19.963,10.291,162,0.994853,1918.02
3 1 2021,00:00 am,19.863,10.025,160,0.994458,1796.63
3 1 2021,01:00 am,19.863,9.461,162,0.995347,1513.84
3 1 2021,02:00 am,19.863,9.451,165,0.994952,1508.79
3 1 2021,03:00 am,19.863,10.539,166,0.993866,2028.06
3 1 2021,04:00 am,19.863,10.163,168,0.991793,1857.71
3 1 2021,05:00 am,19.663,10.272,167,0.99209,1907.65
3 1 2021,06:00 am,19.813,10.38,162,0.992386,1955.66
3 1 2021,07:00 am,19.963,10.489,167,0.992781,2004.11
3 1 2021,08:00 am,20.163,9.797,163,0.994754,1680.99
3 1 2021,09:00 am,20.963,9.965,167,0.992187,1756.95
3 1 2021,10:00 am,21.563,9.916,156,0.990805,1726.52
3 1 2021,11:00 am,21.863,10.608,150,0.993272,2047.12
3 1 2021,00:00 pm,21.763,11.063,145,0.993568,2248.96
3 1 2021,01:00 pm,21.763,11.844,142,0.992779,2528.86
3 1 2021,02:00 pm,21.563,12.753,141,0.990015,2764.96
3 1 2021,03:00 pm,21.363,13.89,143,0.988534,2941.47
3 1 2021,04:00 pm,21.263,13.06,145,0.987744,2831.9
3 1 2021,05:00 pm,20.863,12.298,148,0.988239,2664.46
3 1 2021,06:00 pm,20.613,12.19,150,0.989522,2642.42
3 1 2021,07:00 pm,20.363,12.081,151,0.990806,2616.17
3 1 2021,08:00 pm,20.163,12.022,147,0.990707,2595.34
3 1 2021,09:00 pm,20.063,12.555,149,0.992484,2728.06
3 1 2021,10:00 pm,20.163,13,153,0.990707,2825.07
3 1 2021,11:00 pm,20.163,13.168,152,0.990016,2857.35
4 1 2021,00:00 am,20.163,12.921,156,0.988436,2805.3
4 1 2021,01:00 am,20.263,12.308,159,0.991595,2671.64
4 1 2021,02:00 am,20.363,12.506,166,0.990016,2713.9
4 1 2021,03:00 am,20.463,12.981,166,0.988535,2817.75
4 1 2021,04:00 am,20.463,12.852,167,0.987449,2788.04
4 1 2021,05:00 am,20.563,12.506,170,0.98814,2711.18
4 1 2021,06:00 am,20.813,11.745,172,0.987943,2492.39
4 1 2021,07:00 am,21.063,10.993,172,0.987744,2213.25
4 1 2021,08:00 am,21.363,9.985,172,0.990311,1761.58
4 1 2021,09:00 am,21.663,9.609,173,0.990015,1570.07
4 1 2021,10:00 am,21.863,8.799,157,0.990212,1198.44
4 1 2021,11:00 am,21.763,8.344,149,0.991101,1024.2
4 1 2021,00:00 pm,21.763,9.768,140,0.988238,1646.62
4 1 2021,01:00 pm,21.563,9.758,139,0.98804,1641.59
4 1 2021,02:00 pm,21.863,9.53,140,0.986362,1523.3
4 1 2021,03:00 pm,21.663,10.034,136,0.985968,1776.68
4 1 2021,04:00 pm,21.163,10.608,136,0.984488,2036.19
4 1 2021,05:00 pm,20.563,11.171,142,0.986561,2288.37
4 1 2021,06:00 pm,21.063,9.995,150,0.986856,1762.46
4 1 2021,07:00 pm,21.563,8.818,155,0.987152,1202.84
4 1 2021,08:00 pm,21.363,6.426,159,0.992483,461.536
4 1 2021,09:00 pm,21.163,6.723,165,0.991792,530.497
4 1 2021,10:00 pm,20.863,5.615,166,0.992286,300.86
4 1 2021,11:00 pm,20.563,3.747,171,0.991793,58.2514
5 1 2021,02:00 am,18.263,7.988,5,0.992486,906.708
5 1 2021,03:00 am,13.863,13.584,20,0.99318,2920.86
5 1 2021,04:00 am,14.863,12.822,19,0.993475,2805.53
5 1 2021,05:00 am,13.963,12.031,19,0.994858,2632.4
5 1 2021,06:00 am,12.913,11.201,10,0.994267,2344.17
5 1 2021,07:00 am,11.863,10.371,5,0.993675,1995.81
5 1 2021,08:00 am,11.663,12.19,3,0.997031,2677.41
5 1 2021,09:00 am,11.763,11.834,10,0.998611,2581.64
5 1 2021,10:00 am,12.163,10.638,12,0.996933,2119.17
5 1 2021,11:00 am,12.763,9.619,12,0.999301,1639.65
5 1 2021,00:00 pm,13.263,10.282,15,0.998609,1955.95
5 1 2021,01:00 pm,13.263,8.947,15,0.999696,1299.54
5 1 2021,02:00 pm,13.563,8.047,12,0.998609,948.183
5 1 2021,03:00 pm,13.963,8.364,14,0.999004,1069.99
5 1 2021,04:00 pm,14.163,8.532,12,0.999695,1135.09
5 1 2021,05:00 pm,14.163,9.491,13,0.999794,1567.55
5 1 2021,06:00 pm,12.813,9.471,10,1.00128,1567.48
5 1 2021,07:00 pm,11.463,9.461,8,1.00276,1572.38
5 1 2021,08:00 pm,10.463,11.132,8,1.00453,2344.62
5 1 2021,09:00 pm,9.563,12.783,14,1.00197,2822.17
5 1 2021,10:00 pm,8.963,12.625,16,1.00385,2790.85
5 1 2021,11:00 pm,8.563,13.356,19,1.00523,2909.83
6 1 2021,00:00 am,8.363,12.555,20,1.00631,2779.36
6 1 2021,01:00 am,7.963,12.615,16,1.00701,2794.97
6 1 2021,02:00 am,7.563,11.903,14,1.00681,2634.56
6 1 2021,03:00 am,7.263,12.348,12,1.00691,2736.64
6 1 2021,04:00 am,7.063,12.298,13,1.00878,2727.68
6 1 2021,05:00 am,7.063,11.695,14,1.00809,2569.42
6 1 2021,06:00 am,7.013,11.814,6,1.0071,2610.23
6 1 2021,07:00 am,6.963,11.933,11,1.00612,2642.68
6 1 2021,08:00 am,6.963,10.964,17,1.0077,2304.8
6 1 2021,09:00 am,7.163,11.28,17,1.00799,2418.76
6 1 2021,10:00 am,7.363,10.291,17,1.01066,2010.77
6 1 2021,11:00 am,7.563,10.46,18,1.01086,2087.45
6 1 2021,00:00 pm,7.763,8.739,26,1.01046,1253.03
6 1 2021,01:00 pm,7.963,9.006,25,1.00918,1368.51
6 1 2021,02:00 pm,8.363,8.65,19,1.00987,1215.92
6 1 2021,03:00 pm,8.663,8.334,24,1.00858,1088.84
6 1 2021,04:00 pm,8.863,8.71,25,1.00858,1235.92
6 1 2021,05:00 pm,8.763,8.581,26,1.00839,1185.46
6 1 2021,06:00 pm,7.513,8.64,26,1.00947,1214.14
6 1 2021,07:00 pm,6.263,8.7,16,1.01056,1243.95
6 1 2021,08:00 pm,6.063,8.838,8,1.01214,1300.76
6 1 2021,09:00 pm,5.563,9.333,3,1.00948,1551.07
6 1 2021,10:00 pm,5.363,9.856,14,1.00898,1821.1
6 1 2021,11:00 pm,5.963,8.858,18,1.01204,1308.92
7 1 2021,00:00 am,6.063,8.107,13,1.01165,1013.86
7 1 2021,01:00 am,5.963,7.217,8,1.01155,712.767
7 1 2021,02:00 am,5.663,7.523,359,1.01076,810.706
7 1 2021,03:00 am,5.063,8.265,353,1.00997,1077.22
7 1 2021,04:00 am,4.363,9.856,351,1.01027,1828.88
7 1 2021,05:00 am,4.163,8.828,353,1.00928,1301.75
7 1 2021,06:00 am,4.713,8.206,357,1.01007,1055.49
7 1 2021,07:00 am,5.263,7.583,358,1.01086,830.994
7 1 2021,08:00 am,5.663,6.792,359,1.01165,586.206
7 1 2021,09:00 am,6.163,6.446,350,1.00829,500.897
7 1 2021,10:00 am,6.663,7.217,348,1.00809,707.833
7 1 2021,11:00 am,7.563,6.386,349,1.00967,484.807
7 1 2021,00:00 pm,8.363,6.347,348,1.00701,472.799
7 1 2021,01:00 pm,9.263,5.655,352,1.00809,325.958
7 1 2021,02:00 pm,10.063,5.388,353,1.00602,277.875
7 1 2021,03:00 pm,10.663,5.685,5,1.00562,328.748
7 1 2021,04:00 pm,11.263,6.07,11,1.00493,401.301
7 1 2021,05:00 pm,11.563,5.803,12,1.00374,347.579
7 1 2021,06:00 pm,10.813,5.309,360,1.00256,262.25
7 1 2021,07:00 pm,10.063,4.815,3,1.00138,184.726
7 1 2021,08:00 pm,10.363,5.645,355,1.00276,321.099
7 1 2021,09:00 pm,10.563,5.516,351,1.00078,297.925
8 1 2021,02:00 am,11.963,3.421,287,1.00088,35.4999
8 1 2021,03:00 am,10.763,6.624,303,0.998414,529.513
8 1 2021,04:00 am,10.763,6.327,316,0.997822,459.565
8 1 2021,05:00 am,10.663,5.813,314,0.998514,348.471
8 1 2021,06:00 am,9.963,5.2,309,0.998514,242.999
8 1 2021,07:00 am,9.263,4.587,324,0.998515,156.77
8 1 2021,08:00 am,9.463,3.243,345,0.999896,21.523
8 1 2021,09:00 am,9.863,3.005,340,0.999205,1.82121
8 1 2021,00:00 pm,13.763,3.342,283,0.999596,28.3227
8 1 2021,01:00 pm,14.563,3.539,272,0.999102,44.1369
8 1 2021,02:00 pm,15.363,3.154,273,0.998016,12.3147
9 1 2021,04:00 am,11.863,4.478,338,1.00068,142.129
9 1 2021,05:00 am,9.563,7.751,354,0.999798,863.103
9 1 2021,06:00 am,10.363,8.522,5,1.00059,1146.89
9 1 2021,07:00 am,11.163,9.303,11,1.00128,1490.88
9 1 2021,08:00 am,11.163,9.758,10,1.00138,1723.62
9 1 2021,09:00 am,11.163,7.336,2,1.00108,728.148
9 1 2021,10:00 am,11.563,7.405,7,1.00542,752.153
9 1 2021,11:00 am,12.363,6.001,9,1.00503,383.25
9 1 2021,00:00 pm,13.463,8.482,11,1.00414,1123.25
9 1 2021,01:00 pm,14.363,11.023,19,1.00374,2286.52
9 1 2021,02:00 pm,14.763,11.013,29,1.00275,2279.84
9 1 2021,03:00 pm,15.063,9.59,27,1.00196,1616.58
9 1 2021,04:00 pm,15.163,9.708,22,1.00038,1673.5
9 1 2021,05:00 pm,15.163,8.542,13,1.00108,1135.89
9 1 2021,06:00 pm,15.313,8.522,12,1.00068,1128.15
9 1 2021,07:00 pm,15.463,8.512,3,1.00038,1123.13
9 1 2021,08:00 pm,14.363,8.868,5,1.00503,1270.59
9 1 2021,09:00 pm,13.263,9.253,6,1.00295,1456.34
9 1 2021,10:00 pm,12.463,9.52,12,1.0068,1603.41
9 1 2021,11:00 pm,11.763,10.173,16,1.00878,1930.5
10 1 2021,00:00 am,11.163,10.45,25,1.0069,2055.46
10 1 2021,01:00 am,10.863,10.321,25,1.00868,2002.03
10 1 2021,02:00 am,10.663,9.599,27,1.00651,1653.71
10 1 2021,03:00 am,10.363,8.482,20,1.00533,1136.65
10 1 2021,04:00 am,9.963,7.939,19,1.00562,926.523
10 1 2021,05:00 am,9.363,6.772,9,1.00454,570.258
10 1 2021,06:00 am,9.463,7.286,4,1.00513,719.702
10 1 2021,07:00 am,9.563,7.79,9,1.00572,879.966
10 1 2021,08:00 am,9.663,8.018,14,1.00789,960.808
10 1 2021,09:00 am,10.263,6.337,9,1.0072,467.165
10 1 2021,10:00 am,10.763,6.901,14,1.00809,599.984
10 1 2021,11:00 am,11.563,7.029,28,1.01065,636.928
10 1 2021,00:00 pm,11.963,6.485,37,1.00809,499.541
10 1 2021,01:00 pm,12.063,6.723,41,1.00888,555.695
10 1 2021,02:00 pm,11.863,7.355,42,1.0072,737.257
10 1 2021,03:00 pm,11.663,7.187,48,1.00661,683.936
10 1 2021,04:00 pm,11.463,6.377,47,1.00602,474.059
10 1 2021,05:00 pm,11.463,5.052,43,1.00552,218.029
10 1 2021,06:00 pm,11.563,4.587,37,1.00572,156.597
10 1 2021,07:00 pm,11.663,4.113,35,1.00602,98.508
10 1 2021,08:00 pm,11.763,5.507,39,1.00898,297.617
10 1 2021,09:00 pm,11.963,5.981,45,1.00582,379.566
10 1 2021,10:00 pm,12.263,5.358,47,1.00789,270.827
10 1 2021,11:00 pm,12.463,4.993,59,1.00858,207.414
11 1 2021,00:00 am,12.763,4.894,68,1.00809,193.849
11 1 2021,01:00 am,13.063,4.261,62,1.0072,115.987
11 1 2021,02:00 am,13.163,5.437,60,1.0067,283.191
11 1 2021,03:00 am,13.263,5.161,69,1.0072,235.309
11 1 2021,04:00 am,13.463,4.923,75,1.00601,196.496
11 1 2021,05:00 am,13.463,5.101,78,1.00572,224.389
11 1 2021,06:00 am,12.913,3.954,92,1.00562,79.4044
11 1 2021,11:00 am,14.663,4.637,110,1.00818,161.139
11 1 2021,00:00 pm,14.963,5.951,107,1.0072,370.376
11 1 2021,01:00 pm,14.963,6.406,106,1.00591,474.554
11 1 2021,02:00 pm,14.963,6.703,101,1.00542,544.334
11 1 2021,03:00 pm,14.863,7.365,103,1.00631,730.613
11 1 2021,04:00 pm,14.963,7.266,104,1.00384,697.745
11 1 2021,05:00 pm,15.063,6.802,109,1.00285,565.787
11 1 2021,06:00 pm,15.513,6.495,108,1.00305,493.046
11 1 2021,07:00 pm,15.963,6.189,109,1.00315,420.559
11 1 2021,08:00 pm,16.063,5.704,108,1.00542,325.773
11 1 2021,09:00 pm,16.263,6.12,110,1.00374,404.167
11 1 2021,10:00 pm,16.363,6.812,109,1.00335,566.392
11 1 2021,11:00 pm,16.463,6.535,108,1.00522,501.455
12 1 2021,00:00 am,16.663,6.901,109,1.00591,587.256
12 1 2021,01:00 am,16.963,5.754,108,1.00581,333.632
12 1 2021,02:00 am,17.163,5.348,108,1.00473,262.865
12 1 2021,03:00 am,17.463,5.971,120,1.00236,369.212
12 1 2021,04:00 am,17.563,6.851,122,1.00147,571.926
12 1 2021,05:00 am,17.463,6.456,119,1.00167,479.535
12 1 2021,06:00 am,16.713,6.209,131,1.00206,423.466
12 1 2021,07:00 am,15.963,5.971,136,1.00246,371.023
12 1 2021,08:00 am,16.163,5.081,140,1.00285,217.338
12 1 2021,09:00 am,16.363,4.053,133,1.00423,88.0876
12 1 2021,10:00 am,17.163,5.22,127,1.00453,240.717
12 1 2021,11:00 am,18.063,6.505,134,1.00453,491.672
12 1 2021,00:00 pm,18.563,5.694,121,1.00413,320.807
12 1 2021,01:00 pm,18.463,7.039,105,1.00334,617.082
12 1 2021,02:00 pm,18.263,7.771,105,1.00186,846.337
12 1 2021,03:00 pm,18.063,8.522,104,1.00176,1118.02
12 1 2021,04:00 pm,18.063,8.383,107,1.00048,1064.37
12 1 2021,05:00 pm,18.063,7.276,114,0.999593,689.486
12 1 2021,06:00 pm,18.563,7.691,118,1.00009,818.923
12 1 2021,07:00 pm,19.063,8.117,122,1.00058,957.506
12 1 2021,08:00 pm,18.863,6.377,132,1.00453,460.355
12 1 2021,09:00 pm,18.963,5.507,133,1.00305,287.819
12 1 2021,10:00 pm,19.063,4.053,132,1.00285,86.4884
12 1 2021,11:00 pm,19.163,3.292,127,1.00591,23.1212
13 1 2021,00:00 am,19.163,4.815,124,1.00463,179.168
13 1 2021,01:00 am,19.063,6.268,114,1.00423,434.418
13 1 2021,02:00 am,18.663,6.703,118,1.00275,536.086
13 1 2021,03:00 am,18.263,6.91,121,1.00147,584.466
13 1 2021,04:00 am,17.963,6.792,123,1.00068,556.887
13 1 2021,05:00 am,17.863,6.228,126,1.00098,425.069
13 1 2021,06:00 am,18.163,5.339,116,1.00117,259.175
13 1 2021,07:00 am,18.463,4.439,133,1.00137,133.355
13 1 2021,08:00 am,18.463,3.579,116,1.00364,46.5383
13 1 2021,09:00 am,18.563,3.134,124,1.00058,9.95954
13 1 2021,02:00 pm,20.163,3.203,88,1.00176,15.2074
13 1 2021,03:00 pm,19.963,4.172,87,1.00137,100.027
13 1 2021,04:00 pm,19.663,5.645,93,0.999493,309.83
13 1 2021,05:00 pm,19.063,6.04,107,0.999987,379.114
13 1 2021,06:00 pm,18.913,6.377,112,1.00097,458.51
13 1 2021,07:00 pm,18.763,6.723,130,1.00196,540.087
13 1 2021,08:00 pm,18.963,5.813,140,1.00236,340.355
13 1 2021,09:00 pm,19.163,4.478,131,1.00157,137.691
13 1 2021,10:00 pm,19.363,4.785,128,1.00078,174.649
13 1 2021,11:00 pm,19.363,3.925,138,1.00226,74.2789
14 1 2021,00:00 am,19.363,4.498,152,1.00334,140.316
14 1 2021,01:00 am,19.363,3.678,153,1.00206,54.1464
14 1 2021,02:00 am,19.363,3.984,154,1.00078,78.9233
14 1 2021,03:00 am,19.363,5.101,156,1.00068,216.875
14 1 2021,04:00 am,19.263,5.25,148,0.999888,242.49
14 1 2021,05:00 am,19.063,5.052,142,0.999494,208.451
14 1 2021,06:00 am,18.863,5.675,134,0.999296,315.552
14 1 2021,07:00 am,18.663,6.297,146,0.999198,438.978
14 1 2021,08:00 am,18.263,6.06,163,0.999395,384.795
14 1 2021,09:00 am,18.463,5.161,171,0.998211,227.342
14 1 2021,10:00 am,19.163,5.339,161,0.999888,257.947
14 1 2021,11:00 am,19.963,5.289,151,1.00166,248.842
14 1 2021,00:00 pm,20.463,6.169,139,0.997617,405.792
14 1 2021,01:00 pm,20.363,6.673,123,0.996531,523.139
14 1 2021,02:00 pm,19.363,8.186,117,0.995052,977.204
14 1 2021,03:00 pm,18.463,9.145,122,0.995446,1361.68
14 1 2021,04:00 pm,18.163,9.026,126,0.995743,1305.84
14 1 2021,05:00 pm,18.263,9.075,133,0.993374,1324.1
14 1 2021,06:00 pm,18.263,8.68,120,0.994459,1170.73
14 1 2021,07:00 pm,18.263,8.275,128,0.995446,1015.86
14 1 2021,08:00 pm,18.663,7.968,135,1.00088,906.313
14 1 2021,09:00 pm,18.763,5.774,133,0.997619,332.205
14 1 2021,10:00 pm,18.763,6.802,131,0.997321,556.243
14 1 2021,11:00 pm,18.563,7.227,129,0.996928,670.775
15 1 2021,00:00 am,18.363,6.821,123,0.996533,560.676
15 1 2021,01:00 am,18.363,6.881,126,0.997421,575.301
15 1 2021,02:00 am,18.463,6.762,127,0.994657,545.89
15 1 2021,03:00 am,18.663,7.365,129,0.995545,712.583
15 1 2021,04:00 am,18.763,7.286,128,0.995052,687.808
15 1 2021,05:00 am,18.863,8.047,121,0.994953,925.56
15 1 2021,06:00 am,18.463,7.721,121,0.99367,823.361
15 1 2021,07:00 am,18.063,7.405,124,0.992387,724.297
15 1 2021,08:00 am,18.063,7.009,121,0.997619,605.842
15 1 2021,09:00 am,18.163,6.001,116,0.994361,370.798
15 1 2021,10:00 am,18.663,5.447,120,0.993867,274.943
15 1 2021,11:00 am,18.963,6.555,114,0.994657,496.878
15 1 2021,00:00 pm,18.763,7.464,106,0.995545,743.524
15 1 2021,01:00 pm,17.963,9.006,95,0.993473,1295.53
15 1 2021,02:00 pm,17.763,10.262,95,0.992683,1913.18
15 1 2021,03:00 pm,17.763,10.815,100,0.990512,2156.91
15 1 2021,04:00 pm,17.763,11.132,105,0.991696,2293.99
15 1 2021,05:00 pm,17.963,10.914,114,0.989425,2198.1
15 1 2021,06:00 pm,18.263,11.537,126,0.990609,2433.38
15 1 2021,07:00 pm,18.563,12.15,131,0.991892,2641.61
15 1 2021,08:00 pm,18.663,11.399,133,0.994756,2388.55
15 1 2021,09:00 pm,18.663,10.707,134,0.991596,2105.66
15 1 2021,10:00 pm,18.763,10.529,139,0.988932,2021.72
15 1 2021,11:00 pm,18.863,10.895,145,0.994262,2192.54
16 1 2021,00:00 am,18.963,10.746,148,0.992978,2123.59
16 1 2021,01:00 am,19.063,10.153,151,0.991794,1857.39
16 1 2021,02:00 am,19.063,10.895,150,0.990412,2185.17
16 1 2021,03:00 am,19.163,11.092,157,0.990708,2272.29
16 1 2021,04:00 am,19.263,11.112,164,0.990016,2277.95
16 1 2021,05:00 am,19.363,11.547,159,0.987352,2427.54
16 1 2021,06:00 am,19.013,11.952,146,0.987549,2572.48
16 1 2021,07:00 am,18.663,12.368,148,0.987746,2686.44
16 1 2021,08:00 am,18.863,12.812,148,0.988832,2785.28
16 1 2021,09:00 am,19.563,11.498,157,0.988437,2410.8
16 1 2021,10:00 am,19.863,11.072,146,0.988042,2255.45
16 1 2021,11:00 am,19.563,13.435,144,0.989227,2889.88
16 1 2021,00:00 pm,19.863,13.653,150,0.98666,2914.22
16 1 2021,01:00 pm,20.363,10.549,155,0.986166,2017.71
16 1 2021,02:00 pm,19.663,9.263,149,0.984489,1396.69
16 1 2021,03:00 pm,19.463,9.234,150,0.984686,1384.52
16 1 2021,04:00 pm,19.663,9.817,160,0.984686,1678.24
16 1 2021,05:00 pm,19.563,8.206,170,0.983107,971.501
16 1 2021,06:00 pm,18.313,5.922,202,0.984588,353.71
16 1 2021,07:00 pm,17.063,3.638,178,0.986168,50.0916
16 1 2021,08:00 pm,16.563,6.09,156,0.984688,387.448
16 1 2021,09:00 pm,16.663,5.526,218,0.987058,288.504
16 1 2021,10:00 pm,16.863,4.162,181,0.98607,98.0636
16 1 2021,11:00 pm,17.063,5.151,165,0.989525,224.464
17 1 2021,00:00 am,17.163,8.364,150,0.986267,1044.25
17 1 2021,01:00 am,17.063,8.206,158,0.983405,980.818
17 1 2021,02:00 am,16.863,6.703,169,0.985083,529.964
17 1 2021,03:00 am,16.863,5.398,188,0.987058,266.32
17 1 2021,04:00 am,16.963,5.497,199,0.986267,282.949
17 1 2021,05:00 am,16.863,6.792,206,0.985675,551.136
17 1 2021,06:00 am,17.263,6.505,225,0.984392,482.819
17 1 2021,07:00 am,17.663,6.228,206,0.983108,417.081
17 1 2021,08:00 am,17.663,8.334,222,0.985379,1029.92
17 1 2021,09:00 am,19.063,8.482,253,0.983304,1079.27
17 1 2021,10:00 am,19.963,9.866,266,0.986561,1702.87
17 1 2021,11:00 am,20.263,9.491,280,0.983698,1508.05
17 1 2021,00:00 pm,20.563,8.739,281,0.984882,1173.64
17 1 2021,01:00 pm,21.063,8.838,279,0.985376,1210.38
17 1 2021,02:00 pm,21.863,8.136,285,0.98419,937.715
17 1 2021,03:00 pm,22.663,7.227,288,0.98577,651.789
17 1 2021,04:00 pm,23.163,6.782,285,0.984584,536.822
17 1 2021,05:00 pm,23.263,5.961,288,0.984091,354.787
17 1 2021,06:00 pm,23.663,5.487,305,0.98567,274.09
17 1 2021,07:00 pm,24.063,5.012,297,0.987249,196.283
17 1 2021,08:00 pm,23.663,5.665,305,0.987742,304.882
17 1 2021,09:00 pm,21.863,9.708,340,0.988534,1616.37
17 1 2021,10:00 pm,19.763,9.204,334,0.989622,1375.55
17 1 2021,11:00 pm,19.263,8.64,327,0.990016,1146.58
18 1 2021,00:00 am,18.563,8.275,331,0.990116,1009.07
18 1 2021,01:00 am,17.563,8.314,323,0.991104,1028.78
18 1 2021,02:00 am,16.763,7.78,321,0.990315,843.927
18 1 2021,03:00 am,15.963,8.186,318,0.991697,985.942
18 1 2021,04:00 am,15.163,8.828,318,0.991205,1236.13
18 1 2021,05:00 am,14.163,8.927,319,0.990712,1277.76
18 1 2021,06:00 am,12.863,9.491,329,0.990417,1559.83
18 1 2021,07:00 am,11.563,10.054,329,0.990122,1849.74
18 1 2021,08:00 am,11.363,9.461,329,0.995255,1560.85
18 1 2021,09:00 am,11.763,9.155,312,0.993576,1399.86
18 1 2021,10:00 am,12.563,9.313,310,0.992392,1474.09
18 1 2021,11:00 am,13.563,9.639,306,0.994957,1638.59
18 1 2021,00:00 pm,14.563,9.748,300,0.993574,1686.02
18 1 2021,01:00 pm,15.563,9.748,303,0.993869,1680.78
18 1 2021,02:00 pm,16.463,9.876,305,0.992684,1738.57
18 1 2021,03:00 pm,17.163,10.183,304,0.99298,1882.4
18 1 2021,04:00 pm,17.363,10.964,312,0.992092,2228.09
18 1 2021,05:00 pm,16.563,12.259,322,0.992487,2673.12
18 1 2021,06:00 pm,14.863,12.872,331,0.992785,2816.06
18 1 2021,07:00 pm,13.163,13.485,332,0.993082,2910.09
18 1 2021,08:00 pm,11.863,13.287,337,0.997722,2890.95
18 1 2021,09:00 pm,11.163,12.496,336,0.997921,2748.78
18 1 2021,10:00 pm,10.863,12.328,339,0.997723,2711.72
18 1 2021,11:00 pm,10.163,13.425,348,0.999994,2912.33
19 1 2021,00:00 am,9.663,11.824,348,0.998316,2587.96
19 1 2021,01:00 am,9.363,11.132,345,1.00049,2344.42
19 1 2021,02:00 am,9.163,10.43,341,0.997725,2043.53
19 1 2021,03:00 am,8.763,10.361,345,0.998909,2016.48
19 1 2021,04:00 am,8.163,9.481,346,0.999404,1596.07
19 1 2021,05:00 am,7.563,8.809,343,0.99891,1268.08
19 1 2021,06:00 am,7.013,8.581,345,0.998517,1180.81
19 1 2021,07:00 am,6.463,8.354,340,0.998023,1093.73
19 1 2021,08:00 am,6.263,8.433,344,1.00227,1130.06
19 1 2021,09:00 am,6.463,7.998,337,0.999504,956.144
19 1 2021,10:00 am,7.163,6.218,335,0.999602,440.72
19 1 2021,11:00 am,8.163,6.396,339,1.00266,482.837
19 1 2021,00:00 pm,9.363,4.508,332,1.00078,147.438
19 1 2021,01:00 pm,10.463,4.221,330,1.00078,111.563
19 1 2021,02:00 pm,11.363,4.162,340,0.997624,103.26
19 1 2021,03:00 pm,12.063,3.816,342,0.999005,67.6926
19 1 2021,07:00 pm,12.063,3.203,80,0.999005,17.4093
19 1 2021,08:00 pm,11.663,3.846,84,1.00088,70.4986
